City ID,City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp,Wind Speed
0,Freeport,1,US,1604775840,35,40.66,-73.58,73.99,4.7
1,East London,0,ZA,1604775961,83,-33.02,27.91,71.6,9.17
2,Hermanus,0,ZA,1604776125,57,-34.42,19.23,64.99,13.0
3,Busselton,54,AU,1604776126,66,-33.65,115.33,55.0,3.27
4,The Valley,20,AI,1604776126,70,18.22,-63.06,87.8,13.87
5,Hilo,90,US,1604776126,88,19.73,-155.09,75.99,5.82
6,Port Hardy,20,CA,1604776126,60,50.7,-127.42,42.8,19.46
7,Tasiilaq,90,GL,1604776126,92,65.61,-37.64,28.4,4.7
8,Yarim,74,YE,1604776126,60,14.3,44.38,54.9,3.65
9,Morondava,11,MG,1604775928,80,-20.28,44.28,80.22,7.87
10,Mehamn,90,NO,1604776126,80,71.04,27.85,39.2,31.09
11,Luganville,75,VU,1604776126,94,-15.53,167.17,78.8,1.12
12,Bluff,6,NZ,1604776127,71,-46.6,168.33,46.99,10.0
13,Puerto Escondido,20,MX,1604776127,66,15.85,-97.07,87.8,8.05
14,Westport,1,US,1604775954,52,41.14,-73.36,73.0,6.93
15,Albany,100,US,1604775989,38,42.6,-73.97,72.0,2.44
16,Narsaq,75,GL,1604776127,74,60.92,-46.05,30.2,4.7
17,Jamestown,1,US,1604775959,42,42.1,-79.24,69.01,9.17
18,Chui,23,UY,1604776082,71,-33.7,-53.46,68.81,11.92
19,Castro,0,BR,1604776127,33,-24.79,-50.01,79.97,4.68
20,Wukari,0,NG,1604776086,33,7.85,9.78,79.52,3.94
21,Rikitea,53,PF,1604776128,74,-23.12,-134.97,71.24,19.42
22,Egvekinot,100,RU,1604776128,98,66.32,-179.17,22.46,4.45
23,Ushuaia,75,AR,1604776128,41,-54.8,-68.3,60.8,23.04
24,New Norfolk,6,AU,1604776128,71,-42.78,147.06,42.01,2.57
25,Naze,75,JP,1604775895,94,28.37,129.48,75.2,9.17
26,Batagay-Alyta,74,RU,1604776128,81,67.8,130.41,-12.39,0.45
27,Mataura,100,NZ,1604776128,71,-46.19,168.86,46.99,10.0
28,Rongcheng,0,CN,1604776128,51,30.63,117.85,55.15,1.01
29,High Level,75,CA,1604776129,92,58.52,-117.14,6.8,4.14
30,Hobart,1,AU,1604775908,80,-42.88,147.33,42.01,6.93
31,Khatanga,9,RU,1604776129,88,71.97,102.5,-4.85,11.79
32,Hithadhoo,86,MV,1604775880,73,-0.6,73.08,83.3,8.16
33,George Town,40,MY,1604776091,88,5.41,100.34,78.8,4.7
34,Nandigāma,2,IN,1604776129,92,16.78,80.3,73.8,2.28
